kind,epoch,path,extra
periodic,29000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep29000.pt,{}
periodic,29500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep29500.pt,{}
periodic,30000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep30000.pt,{}
periodic,30500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep30500.pt,{}
periodic,31000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep31000.pt,{}
periodic,31500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep31500.pt,{}
periodic,32000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep32000.pt,{}
periodic,32500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep32500.pt,{}
periodic,33000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep33000.pt,{}
periodic,33500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep33500.pt,{}
periodic,34000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep34000.pt,{}
periodic,34500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep34500.pt,{}
periodic,35000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep35000.pt,{}
periodic,35500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep35500.pt,{}
periodic,36000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep36000.pt,{}
periodic,36500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep36500.pt,{}
periodic,37000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep37000.pt,{}
periodic,37500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep37500.pt,{}
periodic,38000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep38000.pt,{}
periodic,38500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep38500.pt,{}
periodic,39000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep39000.pt,{}
periodic,39500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep39500.pt,{}
periodic,40000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep40000.pt,{}
periodic,40500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep40500.pt,{}
periodic,41000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep41000.pt,{}
periodic,41500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep41500.pt,{}
periodic,42000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep42000.pt,{}
periodic,42500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep42500.pt,{}
periodic,43000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep43000.pt,{}
periodic,43500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep43500.pt,{}
periodic,44000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep44000.pt,{}
periodic,44500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep44500.pt,{}
periodic,45000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep45000.pt,{}
periodic,45500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep45500.pt,{}
periodic,46000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep46000.pt,{}
periodic,46500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep46500.pt,{}
periodic,47000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep47000.pt,{}
periodic,47500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep47500.pt,{}
periodic,48000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep48000.pt,{}
periodic,48500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep48500.pt,{}
periodic,49000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep49000.pt,{}
periodic,49500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep49500.pt,{}
periodic,50000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep50000.pt,{}
final,50000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/final_checkpoint.pt,{}
best_val,45800,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/best_val_checkpoint.pt,"{""val_acc"": 0.9947780678851175}"
